,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
1529,2021-10-03,England,40460.0,3351.0,55977178.0,627213.0,54834.0,62956.03787040475,54938.87882661825,71707.147832313,112.46733065108202,98.14513841090424,128.1006838756913,1124.6733065108203,981.4513841090424,1281.0068387569127
1532,2021-10-04,England,40560.0,3329.0,55977178.0,625657.0,55099.0,61014.59536326308,53212.716877744744,69535.32868509367,108.99905558522987,95.06144964604105,124.22085422936769,1089.9905558522987,950.6144964604104,1242.2085422936768
1535,2021-10-05,England,40422.0,3287.0,55977178.0,623474.0,55045.0,60090.913189373605,52363.338414274804,68541.56451907006,107.34895065516451,93.54408400915602,122.44555186235016,1073.489506551645,935.4408400915604,1224.4555186235013
1538,2021-10-06,England,40138.0,3303.0,55977178.0,620382.0,54690.0,60502.299565857225,52740.016856983864,68984.11612225999,108.08386868994579,94.21699832203734,123.2361447771804,1080.8386868994578,942.1699832203736,1232.3614477718045
1541,2021-10-07,England,39921.0,3349.0,55977178.0,618615.0,54423.0,60042.810890172674,52408.698279017255,68370.91085864196,107.26301867195356,93.6251167913775,122.14068894048565,1072.6301867195357,936.2511679137747,1221.4068894048567
1544,2021-10-08,England,39778.0,3377.0,55977178.0,617599.0,54278.0,60351.98655698763,52712.59867528715,68684.46146911144,107.81534316893864,94.1680173217863,122.70082902198364,1078.1534316893865,941.6801732178631,1227.0082902198365
1547,2021-10-09,England,39210.0,3360.0,55977178.0,617137.0,53705.0,60445.968249752324,52773.011949423024,68817.78156274272,107.98323604264637,94.27594215168014,122.93899767998795,1079.8323604264638,942.7594215168016,1229.3899767998794
1550,2021-10-10,England,38826.0,3382.0,55977178.0,616436.0,53532.0,60439.23416177547,52795.42400804801,68782.36423522093,107.97120598286585,94.31598000179291,122.87572666707302,1079.7120598286585,943.1598000179288,1228.75726667073
1553,2021-10-11,England,38462.0,3427.0,55977178.0,615380.0,53123.0,61608.48537686756,53862.211666240684,70061.87525868298,110.06000584178709,96.22173462592323,125.1614993143866,1100.600058417871,962.2173462592324,1251.614993143866
1556,2021-10-12,England,38298.0,3527.0,55977178.0,613609.0,53032.0,62683.398360874286,54906.922960083044,71152.98396806253,111.98027589185415,98.08805109840132,127.11070209373992,1119.8027589185415,980.8805109840132,1271.107020937399
1559,2021-10-13,England,38099.0,3587.0,55977178.0,612322.0,52799.0,63807.460489705525,55958.943741066214,72345.88625382159,113.98834805446162,99.96742554808,129.2417532263266,1139.8834805446165,999.6742554808001,1292.417532263266
1562,2021-10-14,England,37951.0,3762.0,55977178.0,611406.0,52554.0,65873.91779409628,57954.983479573944,74479.66886780638,117.67995484534124,103.53323541885936,133.05363279979278,1176.7995484534124,1035.3323541885936,1330.5363279979276
1565,2021-10-15,England,37728.0,3847.0,55977178.0,610568.0,52268.0,67839.93602005873,59770.41529633453,76607.63738477898,121.19213301545626,106.7763996540421,136.85512582427606,1211.9213301545626,1067.763996540421,1368.5512582427607
1568,2021-10-16,England,37545.0,3984.0,55977178.0,610006.0,52113.0,70362.64230298199,62113.831273886506,79274.18045177638,125.69880229221629,110.96277714086712,141.6187512199639,1256.9880229221628,1109.6277714086714,1416.1875121996393
1571,2021-10-17,England,37540.0,4104.0,55977178.0,608951.0,52149.0,71682.71198984365,63408.08286357037,80607.72636814968,128.05703065246277,113.27488295957038,144.00105408698826,1280.5703065246278,1132.7488295957041,1440.0105408698826
1574,2021-10-18,England,37313.0,4176.0,55977178.0,608020.0,51894.0,73613.95020575344,65144.73541180997,82727.0715280039,131.50707634056408,116.37731257515335,147.78714198133372,1315.0707634056407,1163.7731257515336,1477.871419813337
1577,2021-10-19,England,37495.0,4274.0,55977178.0,608056.0,51923.0,75396.8410603883,66822.29900861287,84641.0221159394,134.69210802371686,119.37418318696392,151.206304319127,1346.921080237169,1193.7418318696393,1512.0630431912698
1580,2021-10-20,England,37714.0,4391.0,55977178.0,608110.0,52288.0,76756.28532452225,68133.06896911877,86031.10096898429,137.12067679532228,121.71579812243976,153.6896000169646,1371.2067679532229,1217.1579812243974,1536.896000169646
1583,2021-10-21,England,37667.0,4519.0,55977178.0,607515.0,52012.0,79092.16514758013,70330.08364793968,88516.41430072974,141.29359137679313,125.64063813281136,158.12946894309272,1412.9359137679312,1256.4063813281136,1581.294689430927
1586,2021-10-22,England,38008.0,4648.0,55977178.0,608112.0,52466.0,80236.94764312883,71462.40548151058,89648.11009673383,143.3386792794893,127.6634657815558,160.15117821183094,1433.386792794893,1276.6346578155576,1601.5117821183096
1589,2021-10-23,England,38501.0,4716.0,55977178.0,608282.0,53114.0,80738.30738037151,71958.35104733263,90146.94028709481,144.2343295340317,128.5494439311189,161.04230957676148,1442.3432953403174,1285.4944393111894,1610.4230957676148
1592,2021-10-24,England,38630.0,4748.0,55977178.0,608323.0,53442.0,81002.74749773866,72223.67199643249,90413.8501054309,144.7067365520617,129.02342450423723,161.5191285731319,1447.0673655206174,1290.2342450423719,1615.1912857313189
1595,2021-10-25,England,38507.0,4752.0,55977178.0,607489.0,53353.0,80124.67791036742,71426.14023862229,89427.27830526243,143.13811587709446,127.59868001674236,159.75667495289315,1431.3811587709445,1275.9868001674233,1597.5667495289315
1598,2021-10-26,England,38264.0,4782.0,55977178.0,607021.0,53066.0,80276.79532200923,71586.48129449508,89576.22157094954,143.40986485958481,127.88512006535072,160.02275350670504,1434.098648595848,1278.8512006535072,1600.2275350670504
1601,2021-10-27,England,38234.0,4815.0,55977178.0,607348.0,53064.0,79201.7858527552,70646.26739760433,88375.24572497766,141.48942244418825,126.20548216561457,157.8772794244427,1414.8942244418827,1262.0548216561456,1578.772794244427
1604,2021-10-28,England,38167.0,4810.0,55977178.0,606953.0,52964.0,77654.35230621253,69268.93954566393,86634.52833387004,138.7250216618861,123.74496539583313,154.76758820151673,1387.2502166188608,1237.4496539583313,1547.6758820151676
1607,2021-10-29,England,38391.0,4796.0,55977178.0,606650.0,53248.0,76364.09650430876,68106.1547499076,85215.15419268383,136.420054087594,121.66771742210295,152.23195816102742,1364.2005408759399,1216.6771742210294,1522.319581610274
1610,2021-10-30,England,38256.0,4793.0,55977178.0,605776.0,53188.0,75778.10861081383,67592.23942115155,84566.9784419084,135.37322051285582,120.74963732746859,151.07402956595703,1353.7322051285582,1207.496373274686,1510.7402956595706
1613,2021-10-31,England,37995.0,4730.0,55977178.0,605347.0,52971.0,74040.95477265787,65989.39246619554,82694.8293559915,132.2698953717493,117.88624368701748,147.72954320060848,1322.6989537174934,1178.8624368701746,1477.2954320060849
1616,2021-11-01,England,37649.0,4627.0,55977178.0,604825.0,52559.0,71873.65546628245,63966.588558992386,80381.0049856854,128.39814016041046,114.27262117249352,143.59602941342524,1283.9814016041043,1142.7262117249354,1435.9602941342525
1619,2021-11-02,England,37101.0,4488.0,55977178.0,605625.0,52099.0,69499.0008700981,61737.06516991237,77854.55967267328,124.15595668309341,110.28970622619164,139.08268057506092,1241.559566830934,1102.8970622619163,1390.826805750609
1622,2021-11-03,England,36678.0,4331.0,55977178.0,606115.0,51651.0,66759.61747794719,59170.434481852615,74957.63013507385,119.26220624760185,105.70456853300573,133.9074830372368,1192.6220624760185,1057.0456853300577,1339.074830372368
1625,2021-11-04,England,36576.0,4208.0,55977178.0,606021.0,51786.0,64891.39440838848,57414.05445709839,72973.28520719019,115.9247334840432,102.56689691841629,130.36256527113636,1159.247334840432,1025.6689691841627,1303.6256527113635
